trial,diagnostic,condition,expected_warning,detected_warning,warning_count,warnings
0,batch_inspector,clean_batch,False,False,0,
0,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
0,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
0,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
0,gradient_health,clean_gradient,False,False,0,
0,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2e+04) | network.0.weight update/weight ratio is high (6.01e+00) | network.0.bias gradient is very large (norm=4.03e+03) | network.0.bias update/weight ratio is high (5.66e+00) | network.2.weight gradient is very large (norm=2.6e+04) | network.2.weight update/weight ratio is high (2.42e+01) | network.2.bias gradient is very large (norm=9.63e+03) | network.2.bias update/weight ratio is high (7.48e+01)
1,batch_inspector,clean_batch,False,False,0,
1,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
1,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
1,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
1,gradient_health,clean_gradient,False,False,0,
1,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.8e+04) | network.0.weight update/weight ratio is high (5.28e+00) | network.0.bias gradient is very large (norm=2.7e+03) | network.0.bias update/weight ratio is high (3.27e+00) | network.2.weight gradient is very large (norm=2.37e+04) | network.2.weight update/weight ratio is high (2.40e+01) | network.2.bias gradient is very large (norm=4.72e+03) | network.2.bias update/weight ratio is high (2.43e+01)
2,batch_inspector,clean_batch,False,False,0,
2,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
2,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
2,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
2,gradient_health,clean_gradient,False,False,0,
2,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.97e+04) | network.0.weight update/weight ratio is high (6.19e+00) | network.0.bias gradient is very large (norm=4.32e+03) | network.0.bias update/weight ratio is high (5.36e+00) | network.2.weight gradient is very large (norm=2.39e+04) | network.2.weight update/weight ratio is high (2.47e+01) | network.2.bias gradient is very large (norm=8.89e+03) | network.2.bias update/weight ratio is high (6.73e+01)
3,batch_inspector,clean_batch,False,False,0,
3,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
3,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
3,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
3,gradient_health,clean_gradient,False,False,0,
3,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.95e+04) | network.0.weight update/weight ratio is high (5.87e+00) | network.0.bias gradient is very large (norm=4.8e+03) | network.0.bias update/weight ratio is high (7.66e+00) | network.2.weight gradient is very large (norm=2.86e+04) | network.2.weight update/weight ratio is high (2.93e+01) | network.2.bias gradient is very large (norm=9.21e+03) | network.2.bias update/weight ratio is high (7.93e+01)
4,batch_inspector,clean_batch,False,False,0,
4,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
4,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
4,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
4,gradient_health,clean_gradient,False,False,0,
4,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.8e+04) | network.0.weight update/weight ratio is high (5.31e+00) | network.0.bias gradient is very large (norm=2.67e+03) | network.0.bias update/weight ratio is high (4.18e+00) | network.2.weight gradient is very large (norm=1.81e+04) | network.2.weight update/weight ratio is high (1.98e+01) | network.2.bias gradient is very large (norm=6.39e+03) | network.2.bias update/weight ratio is high (4.83e+01)
5,batch_inspector,clean_batch,False,False,0,
5,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
5,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
5,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
5,gradient_health,clean_gradient,False,False,0,
5,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.07e+04) | network.0.weight update/weight ratio is high (6.27e+00) | network.0.bias gradient is very large (norm=3.44e+03) | network.0.bias update/weight ratio is high (4.58e+00) | network.2.weight gradient is very large (norm=2.3e+04) | network.2.weight update/weight ratio is high (2.36e+01) | network.2.bias gradient is very large (norm=3.4e+03) | network.2.bias update/weight ratio is high (1.37e+01)
6,batch_inspector,clean_batch,False,False,0,
6,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
6,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
6,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
6,gradient_health,clean_gradient,False,False,0,
6,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.17e+04) | network.0.weight update/weight ratio is high (6.59e+00) | network.0.bias gradient is very large (norm=5.29e+03) | network.0.bias update/weight ratio is high (6.41e+00) | network.2.weight gradient is very large (norm=2.65e+04) | network.2.weight update/weight ratio is high (2.71e+01) | network.2.bias gradient is very large (norm=1.38e+04) | network.2.bias update/weight ratio is high (8.64e+01)
7,batch_inspector,clean_batch,False,False,0,
7,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
7,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
7,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
7,gradient_health,clean_gradient,False,False,0,
7,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.17e+04) | network.0.weight update/weight ratio is high (6.60e+00) | network.0.bias gradient is very large (norm=3.94e+03) | network.0.bias update/weight ratio is high (5.33e+00) | network.2.weight gradient is very large (norm=2.64e+04) | network.2.weight update/weight ratio is high (2.56e+01) | network.2.bias gradient is very large (norm=8.23e+03) | network.2.bias update/weight ratio is high (4.87e+01)
8,batch_inspector,clean_batch,False,False,0,
8,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
8,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
